	X1	X2	X3	X4	Y1	Y2
Experiment Number	Ethanol Concentration (%)	Extraction time (h)	Extraction Times (time)	Solid-Liquid Ratio (g/mL)	Yield of Dry Extraction（%）	Extraction Yield of Schisandrin（%）
1	40	1	1	1:10	23.53	3.81
1	40	1	1	1:10	23.35	3.81
2	40	2	2	1:12	34.84	30.09
2	40	2	2	1:12	33.75	30.61
3	40	3	3	1:14	37.42	35.82
3	40	3	3	1:14	37.06	36.28
4	50	1	2	1:14	28.95	19.21
4	50	1	2	1:14	28.45	19.88
5	50	2	3	1:10	37.88	27.06
5	50	2	3	1:10	37.64	26.61
6	50	3	1	1:12	30.15	27.74
6	50	3	1	1:12	29.95	27.62
7	60	1	3	1:12	30.26	30.65
7	60	1	3	1:12	30.38	31.11
8	60	2	1	1:14	25.33	17.46
8	60	2	1	1:14	25.39	17.6
9	60	3	2	1:10	31.93	48.61
9	60	3	2	1:10	30.65	49.06
