	X1	X2	X3	Y1	Y2	Y3	Y4	Y5	Y6
Experiment Number	Solid-Liquid Ratio (g/mL)	Extraction Times (time)	Extraction time (h)	Yield of Dry Extraction（%）	Content of Total Sugar（mg/g）	Content of Hesperidin（mg/g）	Wave (μM/mL)	Aave (mAu)	Mwave (kDa)
1	1:10	1	1	19.33	8.03	4.16	0.1235	5.7833	4.1331
1	1:10	1	1	21.45	8.26	4.29	0.115	5.7911	4.234
2	1:10	2	1.5	26.98	10.97	6.58	0.155	6.0065	4.0203
2	1:10	2	1.5	26.1	11.42	6.52	0.1856	5.972	3.9928
3	1:10	3	2	29.92	11.77	8.55	0.0753	6.1593	3.9095
3	1:10	3	2	30.18	11.47	8.18	0.1417	6.2193	3.9029
4	1:12	1	1.5	22.42	8.94	4.9	0.1269	6.048	4.0379
4	1:12	1	1.5	22.18	9.05	4.49	0.1459	5.9824	4.0732
5	1:12	2	2	26.34	9.77	6.8	0.1888	5.9701	3.8357
5	1:12	2	2	27.3	9.45	6.33	0.2003	5.9233	3.8605
6	1:12	3	1	26.18	10.84	9.5	0.2192	6.1827	3.8215
6	1:12	3	1	27.18	11.14	9.29	0.2218	6.0769	3.7536
7	1:14	1	2	23.04	5.79	4.98	0.2466	5.9429	3.9761
7	1:14	1	2	24.2	5.76	4.5	0.1953	5.9623	3.8687
8	1:14	2	1	25.91	7.05	5.86	0.222	5.9279	3.6608
8	1:14	2	1	25.63	7	5.51	0.1173	6.0084	3.5605
9	1:14	3	1.5	31.36	10.37	9.41	0.2761	6.0374	3.7377
9	1:14	3	1.5	32.49	10.5	9.09	0.294	6.005	3.6456
